,batter,season,home_key_batter_1_count,home_key_batter_2_count,away_key_batter_1_count,away_key_batter_2_count,overall_key_count,home_key_count,away_key_count
112,David Warner,2016,6.0,0.0,6.0,0.0,12.0,6.0,6.0
467,Shaun Marsh,2008,5.0,0.0,5.0,0.0,10.0,5.0,5.0
81,Chris Gayle,2012,2.0,0.0,7.0,0.0,9.0,2.0,7.0
218,Jos Buttler,2022,5.0,0.0,4.0,0.0,9.0,5.0,4.0
161,Gautam Gambhir,2012,4.0,0.0,4.0,0.0,8.0,4.0,4.0
584,Virender Sehwag,2012,4.0,0.0,4.0,0.0,8.0,4.0,4.0
82,Chris Gayle,2013,5.0,0.0,3.0,0.0,8.0,5.0,3.0
113,David Warner,2017,5.0,0.0,3.0,0.0,8.0,5.0,3.0
392,Rishabh Pant,2018,5.0,0.0,3.0,0.0,8.0,5.0,3.0
401,Robin Uthappa,2014,5.0,0.0,3.0,0.0,8.0,5.0,3.0
762,Dinesh Karthik ,2018,0.0,5.0,0.0,3.0,8.0,5.0,3.0
203,Jean-Paul Duminy,2009,2.0,0.0,5.0,0.0,7.0,2.0,5.0
230,Kane Williamson,2018,2.0,0.0,5.0,0.0,7.0,2.0,5.0
367,Quinton de Kock,2016,2.0,0.0,5.0,0.0,7.0,2.0,5.0
192,Jacques Kallis,2010,3.0,0.0,4.0,0.0,7.0,3.0,4.0
223,KL Rahul,2018,3.0,0.0,4.0,0.0,7.0,3.0,4.0
315,Michael Hussey,2013,3.0,0.0,4.0,0.0,7.0,3.0,4.0
433,Sachin Tendulkar,2010,3.0,0.0,4.0,0.0,7.0,3.0,4.0
6,AB de Villiers,2018,4.0,0.0,3.0,0.0,7.0,4.0,3.0
1094,Sachin Tendulkar ,2011,0.0,4.0,0.0,3.0,7.0,4.0,3.0
89,Chris Lynn,2018,5.0,0.0,2.0,0.0,7.0,5.0,2.0
308,Matthew Hayden,2009,5.0,0.0,2.0,0.0,7.0,5.0,2.0
485,Shikhar Dhawan,2021,5.0,0.0,2.0,0.0,7.0,5.0,2.0
1022,Rahul Dravid ,2011,0.0,5.0,0.0,2.0,7.0,5.0,2.0
215,Jos Buttler,2018,2.0,0.0,4.0,0.0,6.0,2.0,4.0
266,Lendl Simmons,2015,2.0,0.0,4.0,0.0,6.0,2.0,4.0
410,Rohit Sharma,2012,2.0,0.0,4.0,0.0,6.0,2.0,4.0
423,Ruturaj Gaikwad,2021,2.0,0.0,4.0,0.0,6.0,2.0,4.0
451,Sanju Samson,2021,2.0,0.0,4.0,0.0,6.0,2.0,4.0
480,Shikhar Dhawan,2016,2.0,0.0,4.0,0.0,6.0,2.0,4.0
644,Ajinkya Rahane ,2017,0.0,2.0,0.0,4.0,6.0,2.0,4.0
775,Eoin Morgan ,2020,0.0,2.0,0.0,4.0,6.0,2.0,4.0
4,AB de Villiers,2016,3.0,0.0,3.0,0.0,6.0,3.0,3.0
31,Ajinkya Rahane,2016,3.0,0.0,3.0,0.0,6.0,3.0,3.0
50,Andre Russell,2022,3.0,0.0,3.0,0.0,6.0,3.0,3.0
80,Chris Gayle,2011,3.0,0.0,3.0,0.0,6.0,3.0,3.0
111,David Warner,2015,3.0,0.0,3.0,0.0,6.0,3.0,3.0
118,David Warner,2023,3.0,0.0,3.0,0.0,6.0,3.0,3.0
162,Gautam Gambhir,2013,3.0,0.0,3.0,0.0,6.0,3.0,3.0
371,Quinton de Kock,2022,3.0,0.0,3.0,0.0,6.0,3.0,3.0
443,Sanath Jayasuriya,2008,3.0,0.0,3.0,0.0,6.0,3.0,3.0
497,Shreyas Iyer,2019,3.0,0.0,3.0,0.0,6.0,3.0,3.0
572,Virat Kohli,2016,3.0,0.0,3.0,0.0,6.0,3.0,3.0
728,David Miller ,2014,0.0,3.0,0.0,3.0,6.0,3.0,3.0
859,Kane Williamson ,2018,0.0,3.0,0.0,3.0,6.0,3.0,3.0
920,Mandeep Singh ,2013,0.0,3.0,0.0,3.0,6.0,3.0,3.0
1057,Robin Uthappa ,2010,0.0,3.0,0.0,3.0,6.0,3.0,3.0
1146,Shimron Hetmyer ,2022,0.0,3.0,0.0,3.0,6.0,3.0,3.0
1193,Suryakumar Yadav ,2023,0.0,3.0,0.0,3.0,6.0,3.0,3.0
28,Ajinkya Rahane,2013,4.0,0.0,2.0,0.0,6.0,4.0,2.0
109,David Warner,2013,4.0,0.0,2.0,0.0,6.0,4.0,2.0
117,David Warner,2022,4.0,0.0,2.0,0.0,6.0,4.0,2.0
224,KL Rahul,2019,4.0,0.0,2.0,0.0,6.0,4.0,2.0
411,Rohit Sharma,2013,4.0,0.0,2.0,0.0,6.0,4.0,2.0
484,Shikhar Dhawan,2020,4.0,0.0,2.0,0.0,6.0,4.0,2.0
539,Suryakumar Yadav,2018,4.0,0.0,2.0,0.0,6.0,4.0,2.0
900,MS Dhoni ,2008,0.0,4.0,0.0,2.0,6.0,4.0,2.0
1085,Ruturaj Gaikwad ,2023,0.0,4.0,0.0,2.0,6.0,4.0,2.0
1227,Virat Kohli ,2016,0.0,4.0,0.0,2.0,6.0,4.0,2.0
506,Shubman Gill,2023,5.0,0.0,1.0,0.0,6.0,5.0,1.0
901,MS Dhoni ,2009,0.0,5.0,0.0,1.0,6.0,5.0,1.0
1112,Saurabh Tiwary ,2010,0.0,5.0,0.0,1.0,6.0,5.0,1.0
16,Abhishek Sharma,2022,1.0,0.0,4.0,0.0,5.0,1.0,4.0
141,Dwayne Smith,2014,1.0,0.0,4.0,0.0,5.0,1.0,4.0
393,Rishabh Pant,2019,1.0,0.0,4.0,0.0,5.0,1.0,4.0
624,Abhishek Nayar ,2009,0.0,1.0,0.0,4.0,5.0,1.0,4.0
654,Ambati Rayudu ,2013,0.0,1.0,0.0,4.0,5.0,1.0,4.0
659,Ambati Rayudu ,2020,0.0,1.0,0.0,4.0,5.0,1.0,4.0
836,Jean-Paul Duminy ,2015,0.0,1.0,0.0,4.0,5.0,1.0,4.0
1020,Rahul Dravid ,2008,0.0,1.0,0.0,4.0,5.0,1.0,4.0
1040,Ravindra Jadeja ,2009,0.0,1.0,0.0,4.0,5.0,1.0,4.0
1092,Sachin Tendulkar ,2009,0.0,1.0,0.0,4.0,5.0,1.0,4.0
1172,Stuart Binny ,2013,0.0,1.0,0.0,4.0,5.0,1.0,4.0
44,Ambati Rayudu,2018,2.0,0.0,3.0,0.0,5.0,2.0,3.0
99,David Miller,2013,2.0,0.0,3.0,0.0,5.0,2.0,3.0
110,David Warner,2014,2.0,0.0,3.0,0.0,5.0,2.0,3.0
140,Dwayne Smith,2013,2.0,0.0,3.0,0.0,5.0,2.0,3.0
150,Faf du Plessis,2015,2.0,0.0,3.0,0.0,5.0,2.0,3.0
227,KL Rahul,2022,2.0,0.0,3.0,0.0,5.0,2.0,3.0
386,Ravindra Jadeja,2011,2.0,0.0,3.0,0.0,5.0,2.0,3.0
413,Rohit Sharma,2016,2.0,0.0,3.0,0.0,5.0,2.0,3.0
452,Sanju Samson,2023,2.0,0.0,3.0,0.0,5.0,2.0,3.0
478,Shikhar Dhawan,2013,2.0,0.0,3.0,0.0,5.0,2.0,3.0
503,Shubman Gill,2020,2.0,0.0,3.0,0.0,5.0,2.0,3.0
567,Virat Kohli,2011,2.0,0.0,3.0,0.0,5.0,2.0,3.0
571,Virat Kohli,2015,2.0,0.0,3.0,0.0,5.0,2.0,3.0
574,Virat Kohli,2018,2.0,0.0,3.0,0.0,5.0,2.0,3.0
580,Virender Sehwag,2008,2.0,0.0,3.0,0.0,5.0,2.0,3.0
617,AB de Villiers ,2020,0.0,2.0,0.0,3.0,5.0,2.0,3.0
637,Aiden Markram ,2022,0.0,2.0,0.0,3.0,5.0,2.0,3.0
645,Ajinkya Rahane ,2018,0.0,2.0,0.0,3.0,5.0,2.0,3.0
668,Andre Russell ,2023,0.0,2.0,0.0,3.0,5.0,2.0,3.0
749,Deepak Hooda ,2022,0.0,2.0,0.0,3.0,5.0,2.0,3.0
752,Devdutt Padikkal ,2022,0.0,2.0,0.0,3.0,5.0,2.0,3.0
786,Gautam Gambhir ,2008,0.0,2.0,0.0,3.0,5.0,2.0,3.0
853,KL Rahul ,2020,0.0,2.0,0.0,3.0,5.0,2.0,3.0
871,Kevin Pietersen ,2012,0.0,2.0,0.0,3.0,5.0,2.0,3.0
963,Mithun Manhas ,2010,0.0,2.0,0.0,3.0,5.0,2.0,3.0
965,Moeen Ali ,2019,0.0,2.0,0.0,3.0,5.0,2.0,3.0
1055,Robin Uthappa ,2008,0.0,2.0,0.0,3.0,5.0,2.0,3.0
1113,Saurabh Tiwary ,2012,0.0,2.0,0.0,3.0,5.0,2.0,3.0
1135,Shikhar Dhawan ,2014,0.0,2.0,0.0,3.0,5.0,2.0,3.0
1136,Shikhar Dhawan ,2015,0.0,2.0,0.0,3.0,5.0,2.0,3.0
1223,Virat Kohli ,2012,0.0,2.0,0.0,3.0,5.0,2.0,3.0
1226,Virat Kohli ,2015,0.0,2.0,0.0,3.0,5.0,2.0,3.0
1254,Yusuf Pathan ,2008,0.0,2.0,0.0,3.0,5.0,2.0,3.0
41,Ambati Rayudu,2011,3.0,0.0,2.0,0.0,5.0,3.0,2.0
97,David Hussey,2012,3.0,0.0,2.0,0.0,5.0,3.0,2.0
114,David Warner,2019,3.0,0.0,2.0,0.0,5.0,3.0,2.0
123,Devdutt Padikkal,2021,3.0,0.0,2.0,0.0,5.0,3.0,2.0
165,Gautam Gambhir,2016,3.0,0.0,2.0,0.0,5.0,3.0,2.0
173,Glenn Maxwell,2021,3.0,0.0,2.0,0.0,5.0,3.0,2.0
176,Graeme Smith,2008,3.0,0.0,2.0,0.0,5.0,3.0,2.0
193,Jacques Kallis,2011,3.0,0.0,2.0,0.0,5.0,3.0,2.0
225,KL Rahul,2020,3.0,0.0,2.0,0.0,5.0,3.0,2.0
332,Murali Vijay,2016,3.0,0.0,2.0,0.0,5.0,3.0,2.0
368,Quinton de Kock,2019,3.0,0.0,2.0,0.0,5.0,3.0,2.0
374,Rahul Dravid,2010,3.0,0.0,2.0,0.0,5.0,3.0,2.0
434,Sachin Tendulkar,2011,3.0,0.0,2.0,0.0,5.0,3.0,2.0
469,Shaun Marsh,2011,3.0,0.0,2.0,0.0,5.0,3.0,2.0
482,Shikhar Dhawan,2018,3.0,0.0,2.0,0.0,5.0,3.0,2.0
494,Shreyas Iyer,2015,3.0,0.0,2.0,0.0,5.0,3.0,2.0
504,Shubman Gill,2021,3.0,0.0,2.0,0.0,5.0,3.0,2.0
505,Shubman Gill,2022,3.0,0.0,2.0,0.0,5.0,3.0,2.0
520,Steven Smith,2017,3.0,0.0,2.0,0.0,5.0,3.0,2.0
533,Suresh Raina,2014,3.0,0.0,2.0,0.0,5.0,3.0,2.0
569,Virat Kohli,2013,3.0,0.0,2.0,0.0,5.0,3.0,2.0
575,Virat Kohli,2019,3.0,0.0,2.0,0.0,5.0,3.0,2.0
613,AB de Villiers ,2014,0.0,3.0,0.0,2.0,5.0,3.0,2.0
740,David Warner ,2019,0.0,3.0,0.0,2.0,5.0,3.0,2.0
741,David Warner ,2020,0.0,3.0,0.0,2.0,5.0,3.0,2.0
783,Faf du Plessis ,2021,0.0,3.0,0.0,2.0,5.0,3.0,2.0
816,Irfan Pathan ,2009,0.0,3.0,0.0,2.0,5.0,3.0,2.0
885,Krunal Pandya ,2018,0.0,3.0,0.0,2.0,5.0,3.0,2.0
933,Manoj Tiwary ,2011,0.0,3.0,0.0,2.0,5.0,3.0,2.0
954,Michael Hussey ,2011,0.0,3.0,0.0,2.0,5.0,3.0,2.0
956,Michael Hussey ,2013,0.0,3.0,0.0,2.0,5.0,3.0,2.0
1021,Rahul Dravid ,2009,0.0,3.0,0.0,2.0,5.0,3.0,2.0
1024,Rahul Dravid ,2013,0.0,3.0,0.0,2.0,5.0,3.0,2.0
1049,Rishabh Pant ,2020,0.0,3.0,0.0,2.0,5.0,3.0,2.0
1140,Shikhar Dhawan ,2019,0.0,3.0,0.0,2.0,5.0,3.0,2.0
1187,Suresh Raina ,2019,0.0,3.0,0.0,2.0,5.0,3.0,2.0
1221,Virat Kohli ,2010,0.0,3.0,0.0,2.0,5.0,3.0,2.0
1224,Virat Kohli ,2013,0.0,3.0,0.0,2.0,5.0,3.0,2.0
0,AB de Villiers,2009,4.0,0.0,1.0,0.0,5.0,4.0,1.0
30,Ajinkya Rahane,2015,4.0,0.0,1.0,0.0,5.0,4.0,1.0
125,Devon Conway,2023,4.0,0.0,1.0,0.0,5.0,4.0,1.0
153,Faf du Plessis,2021,4.0,0.0,1.0,0.0,5.0,4.0,1.0
160,Gautam Gambhir,2011,4.0,0.0,1.0,0.0,5.0,4.0,1.0
