rank,year,player_url,player_id,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,team,bowler_surname,year_matches_played,year_neg_bowling_clutch_metric,year_pos_bowling_clutch_metric
1,2024,/cricketers/fazalhaq-farooqi-974175,974175,Fazalhaq Farooqi (AFG),2024-2024,6,6,128,21.2,0,134,15,5/9,8.93,6.28,8.53,1,1,AFG,Farooqi,18,-32.19727501061801,3.864566374387008
2,2024,/cricketers/adam-zampa-379504,379504,A Zampa (AUS),2024-2024,6,6,144,24.0,0,146,13,4/12,11.23,6.08,11.07,1,0,AUS,Zampa,12,-6.148648648648647,5.502268485341336
3,2024,/cricketers/alzarri-joseph-670031,670031,AS Joseph (WI),2024-2024,7,7,147,24.3,0,177,13,4/19,13.61,7.22,11.30,1,0,WI,Joseph,10,-9.080383153138571,2.5580670690155287
4,2024,/cricketers/arshdeep-singh-1125976,1125976,Arshdeep Singh (IND),2024-2024,5,5,120,20.0,0,141,12,4/9,11.75,7.05,10.00,1,0,IND,Singh,5,,2.338391540135164
5,2024,/cricketers/tanzim-hasan-sakib-1139520,1139520,Tanzim Hasan Sakib (BAN),2024-2024,6,6,120,20.0,2,113,11,4/7,10.27,5.65,10.90,1,0,BAN,Sakib,12,-7.032586980285725,2.3174557966636966
6,2024,/cricketers/andre-russell-276298,276298,AD Russell (WI),2024-2024,7,7,121,20.1,0,141,11,3/31,12.81,6.99,11.00,0,0,WI,Russell,16,-10.84700902812358,1.3871176556295954
7,2024,/cricketers/anrich-nortje-481979,481979,A Nortje (SA),2024-2024,7,7,168,28.0,0,168,11,4/7,15.27,6.00,15.27,1,0,SA,Nortje,7,-15.23974845593212,1.340961318975224
8,2024,/cricketers/rishad-hossain-1139523,1139523,Rishad Hossain (BAN),2024-2024,6,6,126,21.0,0,168,11,3/22,15.27,8.00,11.45,0,0,BAN,Hossain,23,-17.62734694580273,3.249839902051194
9,2024,/cricketers/jasprit-bumrah-625383,625383,JJ Bumrah (IND),2024-2024,5,5,114,19.0,2,65,10,3/7,6.50,3.42,11.40,0,0,IND,Bumrah,3,,0.9753062117235344
10,2024,/cricketers/kagiso-rabada-550215,550215,K Rabada (SA),2024-2024,7,7,144,24.0,1,145,10,3/18,14.50,6.04,14.40,0,0,SA,Rabada,6,-3.8577154308617234,1.8074439912182587
11,2024,/cricketers/rashid-khan-793463,793463,Rashid Khan (AFG),2024-2024,6,6,144,24.0,0,148,10,4/17,14.80,6.16,14.40,1,0,AFG,Khan,13,-10.92362503161385,3.3582953096863277
12,2024,/cricketers/trent-boult-277912,277912,TA Boult (NZ),2024-2024,4,4,96,16.0,2,59,9,3/16,6.55,3.68,10.66,0,0,NZ,Boult,9,-32.171855644592284,1.6170352170352167
13,2024,/cricketers/pat-cummins-489889,489889,PJ Cummins (AUS),2024-2024,4,4,90,15.0,1,96,9,3/28,10.66,6.40,10.00,0,0,AUS,Cummins,6,,1.9189112335636618
14,2024,/cricketers/naveen-ul-haq-793447,793447,Naveen-ul-Haq (AFG),2024-2024,6,6,119,19.5,0,119,9,3/20,13.22,6.00,13.22,0,0,AFG,Naveen-ul-Haq,18,-39.98509987808605,4.065323997035506
15,2024,/cricketers/akeal-hosein-530812,530812,AJ Hosein (WI),2024-2024,7,7,150,25.0,1,141,9,5/11,15.66,5.64,16.66,0,1,WI,Hosein,16,-16.220387971161966,3.7544149803085176
1,2022,/cricketers/wanindu-hasaranga-784379,784379,PW Hasaranga (SL),2022-2022,8,8,186,31.0,1,199,15,3/8,13.26,6.41,12.40,0,0,SL,Hasaranga,35,-31.36290506093955,5.272951945459621
2,2022,/cricketers/sam-curran-662973,662973,SM Curran (ENG),2022-2022,6,6,136,22.4,0,148,13,5/10,11.38,6.52,10.46,0,1,ENG,Curran,30,-43.84173744269728,6.052913450587522
3,2022,/cricketers/bas-de-leede-1036191,1036191,BFW de Leede (NED),2022-2022,8,7,132,22.0,0,169,13,3/19,13.00,7.68,10.15,0,0,NED,Leede,29,-26.94859681140964,3.901860771956543
4,2022,/cricketers/blessing-muzarabani-827051,827051,B Muzarabani (ZIM),2022-2022,8,7,156,26.0,0,199,12,3/23,16.58,7.65,13.00,0,0,ZIM,Muzarabani,14,-23.770139626746825,1.8180216550868091
5,2022,/cricketers/anrich-nortje-481979,481979,A Nortje (SA),2022-2022,5,5,105,17.3,0,94,11,4/10,8.54,5.37,9.54,2,0,SA,Nortje,16,-25.95124425995846,2.9705227735124935
6,2022,/cricketers/shaheen-shah-afridi-1072470,1072470,Shaheen Shah Afridi (PAK),2022-2022,7,7,151,25.1,0,155,11,4/22,14.09,6.15,13.72,1,0,PAK,Afridi,12,-21.650381539619477,2.543528253507476
7,2022,/cricketers/shadab-khan-922943,922943,Shadab Khan (PAK),2022-2022,7,7,156,26.0,0,165,11,3/22,15.00,6.34,14.18,0,0,PAK,Khan,32,-24.983435050068625,4.626631549918592
8,2022,/cricketers/josh-little-928067,928067,JB Little (IRE),2022-2022,7,7,162,27.0,0,189,11,3/22,17.18,7.00,14.72,0,0,IRE,Little,38,-40.21394907441184,5.007558074214263
9,2022,/cricketers/paul-van-meekeren-348109,348109,PA van Meekeren (NED),2022-2022,8,8,186,31.0,0,198,11,3/29,18.00,6.38,16.90,0,0,NED,Meekeren,17,-17.119902528536894,1.3906538842611131
10,2022,/cricketers/arshdeep-singh-1125976,1125976,Arshdeep Singh (IND),2022-2022,6,6,120,20.0,0,156,10,3/32,15.60,7.80,12.00,0,0,IND,Singh,24,-13.74501754809507,6.073415675089344
11,2022,/cricketers/sikandar-raza-299572,299572,Sikandar Raza (ZIM),2022-2022,8,8,144,24.0,0,156,10,3/19,15.60,6.50,14.40,0,0,ZIM,Raza,41,-36.97644464566977,4.297947598965669
12,2022,/cricketers/mark-wood-351588,351588,MA Wood (ENG),2022-2022,4,4,84,14.0,0,108,9,3/26,12.00,7.71,9.33,0,0,ENG,Wood,7,-5.13495951456123,2.2535213032898818
13,2022,/cricketers/mitchell-santner-502714,502714,MJ Santner (NZ),2022-2022,5,5,120,20.0,0,129,9,3/31,14.33,6.45,13.33,0,0,NZ,Santner,26,-20.353285446708924,5.610716926671232
14,2022,/cricketers/richard-ngarava-806241,806241,R Ngarava (ZIM),2022-2022,8,8,168,28.0,1,197,9,2/18,21.88,7.03,18.66,0,0,ZIM,Ngarava,19,-18.644312857988442,2.1231330046382606
15,2022,/cricketers/maheesh-theekshana-1138316,1138316,M Theekshana (SL),2022-2022,8,8,181,30.1,0,202,9,2/15,22.44,6.69,20.11,0,0,SL,Theekshana,31,-52.851945939028454,3.9590136123531114
1,2021,/cricketers/wanindu-hasaranga-784379,784379,PW Hasaranga (SL),2021-2021,8,8,180,30.0,0,156,16,3/9,9.75,5.20,11.25,0,0,SL,Hasaranga,36,-30.657780360638878,7.189518078149903
2,2021,/cricketers/adam-zampa-379504,379504,A Zampa (AUS),2021-2021,7,7,162,27.0,0,157,13,5/19,12.07,5.81,12.46,0,1,AUS,Zampa,28,-62.077430878690144,6.055679984216563
3,2021,/cricketers/trent-boult-277912,277912,TA Boult (NZ),2021-2021,7,7,166,27.4,0,173,13,3/17,13.30,6.25,12.76,0,0,NZ,Boult,18,-20.912304316883823,3.7745391067345695
4,2021,/cricketers/shakib-al-hasan-56143,56143,Shakib Al Hasan (BAN),2021-2021,6,6,132,22.0,0,123,11,4/9,11.18,5.59,12.00,1,0,BAN,Hasan,35,-46.933993050691996,5.951782483412884
5,2021,/cricketers/josh-hazlewood-288284,288284,JR Hazlewood (AUS),2021-2021,7,7,144,24.0,1,175,11,4/39,15.90,7.29,13.09,1,0,AUS,Hazlewood,20,-30.91566136601559,4.234909677772471
6,2021,/cricketers/dwaine-pretorius-327830,327830,D Pretorius (SA),2021-2021,5,5,88,14.4,0,101,9,3/17,11.22,6.88,9.77,0,0,SA,Pretorius,15,-29.47120296762333,2.8828711736130828
7,2021,/cricketers/anrich-nortje-481979,481979,A Nortje (SA),2021-2021,5,5,116,19.2,0,104,9,3/8,11.55,5.37,12.88,0,0,SA,Nortje,15,-13.632757435702036,2.6404680161396916
8,2021,/cricketers/josh-davey-407265,407265,JH Davey (SCOT),2021-2021,5,5,105,17.3,0,123,9,4/18,13.66,7.02,11.66,1,0,SCOT,Davey,12,-17.9206654099533,1.6042789419195391
9,2021,/cricketers/shadab-khan-922943,922943,Shadab Khan (PAK),2021-2021,6,6,138,23.0,0,138,9,4/26,15.33,6.00,15.33,1,0,PAK,Khan,22,-10.415633630426443,5.0004712724894205
10,2021,/cricketers/adil-rashid-244497,244497,AU Rashid (ENG),2021-2021,6,6,134,22.2,0,146,9,4/2,16.22,6.53,14.88,1,0,ENG,Rashid,20,-13.223185181875436,6.992463971988259
